,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Casinos de Juego,17,17,Casino Sol Calama,1,,,,,,,
Enero,15.0,,,,1493522387.2666667,1607373673.6973317,30350563.0,607498257.5,903056986.0,1897334271.0,6529839805.0
Febrero,15.0,,,,1372854207.6666667,1347517724.5588865,40207985.0,590090734.0,901678356.0,1852536646.5,5414744090.0
Marzo,15.0,,,,1513155812.7333333,1597348266.2531707,14791300.0,566594998.0,909455522.0,2066888162.5,6262877018.0
Abril,16.0,,,,1447618955.125,1568871555.0052478,26829416.0,485657070.25,916232015.5,1862641433.0,6245009749.0
Mayo,17.0,,,,1435784888.8235295,1590115975.6145854,13207904.0,411312413.0,837112044.0,1751390983.0,6290592866.0
Junio,17.0,,,,1405446501.0588236,1602558557.122763,24859788.0,395549903.0,878744420.0,1779137883.0,6531399640.0
Julio,17.0,,,,1494492059.1176472,1688952103.2131505,38606304.0,425221475.0,945732082.0,1763865417.0,6794344184.0
Agosto,17.0,,,,1516311751.6470587,1786858313.221276,34329748.0,415957862.0,902984145.0,1793432553.0,7217690792.0
Septiembre,17.0,,,,1447561364.8235295,1628876961.8744712,28121361.0,512917703.0,880833807.0,1738300827.0,6623598842.0
Octubre,17.0,,,,1561597095.4117646,2008358952.5904205,16993145.0,427217966.0,904982704.0,1663635252.0,8257326721.0
Noviembre,17.0,,,,1420726459.7058823,1658691895.8060389,15322992.0,451686016.0,844418050.0,1600583726.0,6668233379.0
Total ($),17.0,,,,15508678320.411764,17984477626.79944,283620506.0,5188840748.0,9573116837.0,18692036073.0,72835657086.0
Total (US$),17.0,,,,31846003.529411763,36939532.73451009,582152.0,10652826.0,19654979.0,38364924.0,149604259.0
